Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
1,Сила кристаллов,COMMON,Торговка зельями,COMMON,Блестянка,RARE,Отважная трактирщица,COMMON,Омега-уничтожитель,EPIC,135
2,Рецидивист,RARE,Мутирование,COMMON,Сила кристаллов,COMMON,Безликий яростень,COMMON,Лягушка-пострелушка,COMMON,40
3,Сила кристаллов,COMMON,Торговка зельями,COMMON,Блестянка,RARE,Отважная трактирщица,COMMON,Омега-уничтожитель,EPIC,135
4,Безликий яростень,COMMON,Убедительный лазутчик,GOLDEN RARE,Шпионка Похитителей Солнца,COMMON,Злая металлолайка,GOLDEN COMMON,Рецидивист,RARE,180
