Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
27,Прославление,COMMON,Пеплоуст-убийца,RARE,Корсарский тайник,RARE,Ржавоциклистка,COMMON,Обновление,COMMON,55
28,Ловчая Драконьей Пасти,COMMON,Призывательница Скверны,COMMON,Воевода Кривого Клыка,RARE,Болотный луч,COMMON,Звездная провидица,COMMON,40
29,Череп Гул'дана,RARE,Подозрительный скиталец,COMMON,Тактика стаи,GOLDEN RARE,Обновление,COMMON,Щит и меч,COMMON,135
30,Темный портал,RARE,Самоуверенный орк,COMMON,Пленный мерзотень,COMMON,Навигатор Плавников Скверны,COMMON,Прославление,COMMON,40
31,Пеплоуст-убийца,RARE,Пленный сквернозуб,COMMON,Навигатор Плавников Скверны,COMMON,Зловепрь,COMMON,Гонец Кровавой Печати,COMMON,40
32,Болотное порождение,COMMON,Обжигающий жар,COMMON,Вихрь клинков,EPIC,Звездная провидица,COMMON,Раскол души,RARE,135
33,Проклятый бродяга,COMMON,Буйство природы,COMMON,Крабстер-трещот,RARE,Ткачиха мороза,COMMON,Ткачиха мороза,COMMON,40
34,Почкование,RARE,Призрачное зрение,COMMON,Сбежавший стражник жути,COMMON,Странница Пустоты,COMMON,Прославление,COMMON,40
35,Костеглодка-налетчица,COMMON,Часовая Драконьей Пасти,RARE,Пленный ган'арг,COMMON,Железная кора,RARE,Ржавый адепт,COMMON,55
36,Ржавый сектант,COMMON,Гонец Кровавой Печати,COMMON,Пленные лучежабры,RARE,Алдор-служительница,COMMON,Самоуверенный орк,COMMON,40
37,Натрезим в доспехах,RARE,Продавец щитов,COMMON,Ловчая Драконьей Пасти,COMMON,Алдор-служительница,COMMON,Проклятый бродяга,COMMON,40
38,Ржавоциклистка,COMMON,Манускрипт справедливости,COMMON,Часовая Драконьей Пасти,RARE,Самоуверенный орк,COMMON,Ржавоциклистка,COMMON,40
39,Щит и меч,COMMON,Колосс со свалки,RARE,Пеплоуст-военачальник,COMMON,Грязные приемы,COMMON,Гонец Кровавой Печати,COMMON,40
40,Продавщица ракет,COMMON,Ловчая Драконьей Пасти,COMMON,Пеплоуст-военачальник,COMMON,Почкование,RARE,Созерцательница тьмы,EPIC,135
41,Верховная мать,COMMON,Портал ветра Пустоты,COMMON,Пленный гомункул,COMMON,Пеплоуст-медиум,COMMON,Манускрипт мудрости,RARE,40
42,Сбежавший стражник жути,GOLDEN COMMON,Внезапный удар,RARE,Верховный абиссал,COMMON,Звездная провидица,COMMON,Колдовской поток,COMMON,85
43,Звездная провидица,COMMON,Верховный абиссал,COMMON,Верховная мать,COMMON,Выстрел хламом,RARE,Шпионка,COMMON,40
44,Рой светлячков,EPIC,Пленный сатир,COMMON,Тотемное отражение,COMMON,Грибные богатства,RARE,Звездная провидица,COMMON,135
45,Костеглод-буян,COMMON,Мок'наталская львица,RARE,Обжигающий жар,COMMON,Прилив сил,LEGENDARY,Проклятый бродяга,COMMON,435
46,Верховный абиссал,COMMON,Грибные богатства,RARE,Костеглод-буян,COMMON,Болотное порождение,COMMON,Манускрипт справедливости,COMMON,40
47,Темный портал,RARE,Костеглодка-налетчица,COMMON,Апекситовый заряд,EPIC,Болотный луч,COMMON,Грязные приемы,COMMON,135
48,Внезапный удар,RARE,Призрачное зрение,COMMON,Костеглод с передовой,COMMON,Череп Гул'дана,RARE,Костеглод-буян,COMMON,55
49,Навигатор Плавников Скверны,COMMON,Призрачное зрение,COMMON,Голем из хлама,GOLDEN RARE,Портал ветра Пустоты,COMMON,Пленный антеон,RARE,135
50,Шиварра-мародер,COMMON,Щит и меч,COMMON,Буйство природы,COMMON,Яростный Плавник Скверны,RARE,Продавец эфира,GOLDEN COMMON,85
51,Ловчая Драконьей Пасти,COMMON,Верховная мать,COMMON,Колдовской поток,COMMON,Самоуверенный орк,COMMON,Громила Гуртогга,RARE,40
52,Ал'ар,LEGENDARY,Голем из хлама,RARE,Пленный антеон,RARE,Костеглодка-налетчица,COMMON,Зловепрь,COMMON,450
53,Гонец Кровавой Печати,COMMON,Костеглод с передовой,COMMON,Колдовской поток,COMMON,Колосс со свалки,RARE,Навигатор Плавников Скверны,COMMON,40
54,Болотная гидра,EPIC,Громила Гуртогга,RARE,Шиварра-мародер,COMMON,Продавщица ракет,COMMON,Источник силы,RARE,150
55,Ржавоциклистка,COMMON,Сетеккская ворожея,EPIC,Призрачное зрение,COMMON,Гонец Кровавой Печати,COMMON,Источник силы,RARE,135
56,Заразный спорлинг,RARE,Заразный спорлинг,RARE,Пеплоуст-медиум,COMMON,Призрачное зрение,COMMON,Пленный мерзотень,COMMON,55
57,Выстрел хламом,RARE,Алдор-служительница,COMMON,Верховный абиссал,COMMON,Пленный ган'арг,COMMON,Тотемное отражение,COMMON,40
58,Поток,GOLDEN RARE,Шпионка,COMMON,Бандитка с дубинкой,RARE,Подозрительный скиталец,COMMON,Костеглодка-налетчица,COMMON,135
59,Манускрипт мудрости,RARE,Навигатор Плавников Скверны,GOLDEN COMMON,Костеглодка-налетчица,COMMON,Шпионка,COMMON,Портал ветра Пустоты,COMMON,85
60,Поток,RARE,Ткачиха мороза,COMMON,Грязные приемы,COMMON,Подозрительный скиталец,COMMON,Сетеккская ворожея,GOLDEN EPIC,435
61,Верховная мать,COMMON,Навигатор Плавников Скверны,COMMON,Яростный Плавник Скверны,RARE,Пленный сатир,COMMON,Болотный луч,COMMON,40
62,Продавец щитов,COMMON,Тотемное отражение,COMMON,Голем из хлама,RARE,Болотный луч,COMMON,Страж пустоши,EPIC,135
63,Норный скорпид,COMMON,Тактика стаи,RARE,Тотемное отражение,COMMON,Призрачное зрение,COMMON,Прославление,COMMON,40
64,Норный скорпид,COMMON,Звездная провидица,COMMON,Верховная мать,COMMON,Гонец Кровавой Печати,COMMON,Алдор – искатель истины,RARE,40
65,Портал: Змеиное святилище,COMMON,Череп Гул'дана,RARE,Самоуверенный орк,COMMON,Ловчая Драконьей Пасти,COMMON,Пленный сквернозуб,COMMON,40
66,Череп Гул'дана,RARE,Охотничья уловка,COMMON,Шиварра-мародер,COMMON,Ловчая Драконьей Пасти,COMMON,Надзиратель Драконьей Пасти,RARE,55
67,Натрезим в доспехах,RARE,Манускрипт справедливости,COMMON,Призрачное зрение,COMMON,Норный скорпид,COMMON,Ржавый адепт,COMMON,40
68,Нестабильная Скверна,COMMON,Темный портал,RARE,Верховный абиссал,COMMON,Пленный ган'арг,COMMON,Алдор-служительница,COMMON,40
69,Костеглод-буян,COMMON,Буйство природы,COMMON,Заразный спорлинг,RARE,Грязные приемы,COMMON,Пленный гомункул,COMMON,40
70,Тотемное отражение,COMMON,Верховный абиссал,COMMON,Болотное порождение,COMMON,Выстрел хламом,RARE,Пленный сатир,COMMON,40
71,Рой светлячков,EPIC,Верховный абиссал,COMMON,Контрабандист апексита,EPIC,Костеглодка-налетчица,COMMON,Костеглод-буян,COMMON,215
72,Громила Гуртогга,RARE,Поток,RARE,Гонец Кровавой Печати,COMMON,Верховный абиссал,COMMON,Прославление,COMMON,55
73,Тактика стаи,RARE,Нестабильная Скверна,GOLDEN COMMON,Тотемное отражение,COMMON,Обновление,COMMON,Навигатор Плавников Скверны,COMMON,85
74,Ловчая Драконьей Пасти,COMMON,Буйство природы,COMMON,Махинация,EPIC,Странница Пустоты,COMMON,Мок'наталская львица,RARE,135
75,Грязные приемы,COMMON,Ловчая Драконьей Пасти,COMMON,Охотничья уловка,COMMON,Почкование,RARE,Портал ветра Пустоты,COMMON,40
76,Ткачиха мороза,COMMON,Щит и меч,COMMON,Обжигающий жар,COMMON,Жрица ярости,RARE,Колдовской поток,COMMON,40
77,Шпионка,COMMON,Мок'наталская львица,RARE,Навигатор Плавников Скверны,COMMON,Манускрипт надежды,EPIC,Ловчая Драконьей Пасти,COMMON,135
