Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
1,Костеглод-буян,COMMON,Пеплоуст-медиум,COMMON,Волдырный гнилостень,RARE,Охотничья уловка,COMMON,Пленный сквернозуб,COMMON,40
2,Шпионка,COMMON,Портал: Змеиное святилище,COMMON,Шпионка,COMMON,Жрица ярости,RARE,Буйство природы,COMMON,40
3,Пленный сатир,COMMON,Корсарский тайник,RARE,Шиварра-мародер,COMMON,Ржавый адепт,COMMON,Продавец эфира,COMMON,40
4,Верховный абиссал,COMMON,Странница Пустоты,COMMON,Пленный сквернозуб,COMMON,Железная кора,RARE,Ржавый адепт,COMMON,40
5,Самоуверенный орк,GOLDEN COMMON,Гонец Кровавой Печати,COMMON,Буйство природы,COMMON,Надзиратель Драконьей Пасти,RARE,Шиварра-мародер,COMMON,85
6,Алдор – искатель истины,RARE,Верховный абиссал,COMMON,Портал: Змеиное святилище,COMMON,Зловепрь,COMMON,Портал ветра Пустоты,COMMON,40
7,Пеплоуст-медиум,COMMON,Ржавый сектант,COMMON,Живительные споры,RARE,Тотемное отражение,COMMON,Тотемное отражение,COMMON,40
8,Нестабильная Скверна,COMMON,Претендентка Боевого Молота,EPIC,Пленный сатир,COMMON,Тактика стаи,RARE,Майев Песнь Теней,LEGENDARY,530
9,Рука Гул'дана,COMMON,Жрица ярости,RARE,Продавец щитов,COMMON,Ржавый сектант,COMMON,Самоуверенный орк,COMMON,40
10,Зловепрь,COMMON,Продавец эфира,COMMON,Верховная мать,COMMON,Поток,RARE,Пленный гомункул,COMMON,40
11,Проклятый бродяга,COMMON,Живительные споры,RARE,Крабстер-трещот,RARE,Охотничья уловка,COMMON,Болотное порождение,COMMON,55
12,Костеглод-буян,COMMON,Костеглод с передовой,COMMON,Пленный мерзотень,COMMON,Пеплоуст-военачальник,COMMON,Алдор – искатель истины,RARE,40
13,Глубокая заморозка,RARE,Манускрипт справедливости,COMMON,Костеглод с передовой,COMMON,Манускрипт справедливости,COMMON,Рука Гул'дана,COMMON,40
14,Портал ветра Пустоты,COMMON,Болотный луч,COMMON,Волдырный гнилостень,RARE,Алдор-служительница,COMMON,Обжигающий жар,COMMON,40
15,Архигриб Мссхи'фн,LEGENDARY,Прославление,COMMON,Колдовской поток,COMMON,Гонец Кровавой Печати,COMMON,Продавщица ракет,COMMON,420
16,Щит и меч,COMMON,Звездная провидица,COMMON,Расколотый грохотун,EPIC,Пленный мерзотень,COMMON,Пленный хламобес,RARE,135
17,Норный скорпид,COMMON,Алдор-служительница,COMMON,Костеглодка-налетчица,COMMON,Пленный хламобес,RARE,Продавщица ракет,COMMON,40
18,Бандитка с дубинкой,RARE,Пеплоуст-военачальник,COMMON,Пленный гомункул,COMMON,Мо'арг-механолог,EPIC,Верховная мать,COMMON,135
19,Длань А'дала,COMMON,Пленный наблюдатель,RARE,Норный скорпид,COMMON,Сбежавший стражник жути,COMMON,Продавец щитов,COMMON,40
20,Пленный ган'арг,COMMON,Пленный ган'арг,COMMON,Грязные приемы,COMMON,Пленный наблюдатель,RARE,Навигатор Плавников Скверны,COMMON,40
21,Болотное порождение,COMMON,Надзиратель Драконьей Пасти,RARE,Грязные приемы,COMMON,Ткачиха мороза,COMMON,Нестабильная Скверна,COMMON,40
22,Длань А'дала,COMMON,Странница Пустоты,COMMON,Яростный Плавник Скверны,GOLDEN RARE,Мок'наталская львица,RARE,Колдовской поток,COMMON,135
23,Проклятый бродяга,COMMON,Призрачное зрение,COMMON,Подозрительный скиталец,COMMON,Обжигающий жар,COMMON,Пленные лучежабры,RARE,40
24,Глубокая заморозка,RARE,Воевода Кривого Клыка,RARE,Призрачное зрение,COMMON,Костеглодка-налетчица,COMMON,Обновление,GOLDEN COMMON,100
25,Навигатор Плавников Скверны,COMMON,Полководец из преисподней,EPIC,Ловчая Драконьей Пасти,COMMON,Натрезим в доспехах,RARE,Боевые клинки Аззинота,EPIC,230
26,Ржавоциклистка,COMMON,Ткачиха мороза,COMMON,Раскол души,RARE,Призывательница Скверны,COMMON,Сбежавший стражник жути,COMMON,40
