Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
1,Гнев карателя,EPIC,Морозная ловушка,COMMON,Главарь Братства,COMMON,Стенолом,RARE,Порождение Света,COMMON,135
2,Ржавоциклистка,COMMON,Призрачное зрение,COMMON,Болотное порождение,COMMON,Ткачиха мороза,COMMON,Манускрипт надежды,EPIC,120
3,Костеглод-буян,COMMON,Подозрительный скиталец,COMMON,Колосс со свалки,RARE,Шиварра-мародер,COMMON,Охотничья уловка,COMMON,40
4,Пленный сатир,COMMON,Пеплоуст-убийца,RARE,Зловепрь,COMMON,Скрытень из глубин,LEGENDARY,Щит и меч,COMMON,435
5,Пленный сатир,COMMON,Портал ветра Пустоты,COMMON,Пленный хламобес,RARE,Алдор-служительница,COMMON,Подозрительный скиталец,COMMON,40
6,Буйство природы,COMMON,Тотемное отражение,COMMON,Обжигающий жар,COMMON,Громила Гуртогга,RARE,Продавец эфира,COMMON,40
7,Ржавый адепт,COMMON,Поток,RARE,Буйство природы,COMMON,Алдор-служительница,COMMON,Пленный наблюдатель,RARE,55
8,Сбежавший стражник жути,COMMON,Мок'наталская львица,RARE,Странница Пустоты,COMMON,Продавец щитов,COMMON,Навигатор Плавников Скверны,COMMON,40
9,Болотный луч,COMMON,Навигатор Плавников Скверны,COMMON,Болотное порождение,COMMON,Внезапный удар,RARE,Ловчая Драконьей Пасти,COMMON,40
10,Удочка Темносвета,EPIC,Грязные приемы,COMMON,Железная кора,RARE,Манускрипт справедливости,COMMON,Охотничья уловка,COMMON,135
11,Призрачное зрение,COMMON,Продавец щитов,COMMON,Колдовской поток,COMMON,Манускрипт мудрости,RARE,Пеплоуст-военачальник,COMMON,40
12,Манускрипт справедливости,COMMON,Ткачиха мороза,COMMON,Источник силы,RARE,Ловчая Драконьей Пасти,COMMON,Верховная мать,COMMON,40
13,Верховный абиссал,COMMON,Рука Гул'дана,COMMON,Поток,RARE,Продавец эфира,COMMON,Ржавый адепт,COMMON,40
14,Обновление,COMMON,Щит и меч,COMMON,Грязные приемы,COMMON,Пленный антеон,RARE,Жрица ярости,RARE,55
15,Пленный ган'арг,COMMON,Ржавый сектант,COMMON,Почкование,RARE,Шиварра-мародер,COMMON,Странница Пустоты,GOLDEN COMMON,85
16,Тотемное отражение,COMMON,Колосс со свалки,RARE,Колдовской поток,COMMON,Ржавоциклистка,COMMON,Прославление,COMMON,40
17,Самоуверенный орк,COMMON,Темный портал,RARE,Портал: Змеиное святилище,COMMON,Нестабильная Скверна,COMMON,Надзиратель Драконьей Пасти,RARE,55
18,Продавщица ракет,COMMON,Выстрел хламом,RARE,Портал ветра Пустоты,COMMON,Норный скорпид,COMMON,Ржавый сектант,COMMON,40
19,Сбежавший стражник жути,COMMON,Пеплоуст-медиум,COMMON,Портал: Змеиное святилище,COMMON,Темный портал,RARE,Рой светлячков,EPIC,135
20,Пленный мерзотень,COMMON,Пленный наблюдатель,RARE,Костеглод-буян,COMMON,Обжигающий жар,COMMON,Пеплоуст-медиум,COMMON,40
21,Проклятый бродяга,COMMON,Длань А'дала,COMMON,Рука Гул'дана,COMMON,Пленный ган'арг,COMMON,Каргат Острорук,LEGENDARY,420
22,Звездная провидица,COMMON,Костеглодка-налетчица,COMMON,Продавщица ракет,COMMON,Болотный луч,COMMON,Заразный спорлинг,RARE,40
23,Пленный сквернозуб,COMMON,Пленный мерзотень,COMMON,Самоуверенный орк,COMMON,Грибные богатства,RARE,Костеглодка-налетчица,COMMON,40
24,Нестабильная Скверна,COMMON,Пленный гомункул,COMMON,Пеплоуст-убийца,GOLDEN RARE,Норный скорпид,COMMON,Звездная провидица,COMMON,120
25,Костеглод с передовой,COMMON,Бандитка с дубинкой,RARE,Шпионка,COMMON,Обновление,COMMON,Костеглод с передовой,COMMON,40
26,Проклятый бродяга,COMMON,Тактика стаи,RARE,Пеплоуст-военачальник,GOLDEN COMMON,Прославление,COMMON,Шпионка,COMMON,85
27,Призывательница Скверны,COMMON,Пленный сквернозуб,COMMON,Часовая Драконьей Пасти,RARE,Яростный Плавник Скверны,RARE,Призывательница Скверны,COMMON,55
28,Алдор – искатель истины,RARE,Верховная мать,COMMON,Верховный абиссал,COMMON,Зловепрь,COMMON,Болотная гидра,EPIC,135
29,Длань А'дала,COMMON,Воевода Кривого Клыка,RARE,Пленный гомункул,COMMON,Гонец Кровавой Печати,COMMON,Гонец Кровавой Печати,COMMON,40
30,Охотничья уловка,COMMON,Пеплоуст-военачальник,COMMON,Грибные богатства,RARE,Пленный ган'арг,COMMON,Странница Пустоты,COMMON,40
31,Охотничья уловка,COMMON,Боевые клинки Аззинота,EPIC,Пленный мерзотень,COMMON,Бандитка с дубинкой,RARE,Зловепрь,COMMON,135
32,Пленный ган'арг,COMMON,Норный скорпид,COMMON,Верховный абиссал,COMMON,Часовая Драконьей Пасти,RARE,Призывательница Скверны,COMMON,40
33,Портал ветра Пустоты,COMMON,Рука Гул'дана,COMMON,Гонец Кровавой Печати,COMMON,Громила Гуртогга,RARE,Ржавоциклистка,COMMON,40
34,Костеглодка-налетчица,COMMON,Пленный сквернозуб,COMMON,Длань А'дала,COMMON,Почкование,RARE,Ржавый адепт,COMMON,40
35,Портал: Змеиное святилище,COMMON,Длань А'дала,COMMON,Воевода Кривого Клыка,RARE,Пленный сквернозуб,COMMON,Звездная провидица,COMMON,40
36,Странница Пустоты,COMMON,Гром в Награнде,EPIC,Продавец щитов,COMMON,Пленный гомункул,COMMON,Крабстер-трещот,RARE,135
37,Норный скорпид,COMMON,Череп Гул'дана,RARE,Рука Гул'дана,COMMON,Ржавый адепт,COMMON,Навигатор Плавников Скверны,COMMON,40
38,Ржавоциклистка,COMMON,Портал ветра Пустоты,COMMON,Продавщица ракет,COMMON,Колдовской поток,COMMON,Архигриб Мссхи'фн,LEGENDARY,420
39,Надзиратель Драконьей Пасти,RARE,Колдовской поток,COMMON,Мок'наталская львица,RARE,Пленный гомункул,COMMON,Сбежавший стражник жути,COMMON,55
40,Щит и меч,COMMON,Верховный абиссал,COMMON,Железная кора,RARE,Раскол души,GOLDEN RARE,Тотемное отражение,COMMON,135
41,Рука Гул'дана,COMMON,Крабстер-трещот,RARE,Зловепрь,GOLDEN COMMON,Алдор-служительница,COMMON,Нестабильная Скверна,COMMON,85
42,Продавец щитов,GOLDEN COMMON,Портал: Змеиное святилище,COMMON,Пленный гомункул,COMMON,Волдырный гнилостень,RARE,Щит и меч,COMMON,85
43,Череп Гул'дана,RARE,Пеплоуст-медиум,COMMON,Ржавый сектант,COMMON,Продавец эфира,COMMON,Рой светлячков,EPIC,135
44,Обновление,COMMON,Глубокая заморозка,RARE,Ловчая Драконьей Пасти,COMMON,Тактика стаи,RARE,Пленный сквернозуб,COMMON,55
45,Пеплоуст-медиум,COMMON,Пленный сатир,COMMON,Жрица ярости,RARE,Пеплоуст-военачальник,COMMON,Странница Пустоты,COMMON,40
46,Буйство природы,COMMON,Шпионка,COMMON,Манускрипт справедливости,COMMON,Яростный Плавник Скверны,RARE,Внезапный удар,RARE,55
47,Источник силы,RARE,Шпионка,COMMON,Пленный сквернозуб,COMMON,Рука Гул'дана,COMMON,Пленный сатир,COMMON,40
48,Щит и меч,COMMON,Манускрипт мудрости,RARE,Призрачное зрение,COMMON,Призрачное зрение,COMMON,Навигатор Плавников Скверны,COMMON,40
49,Портал: Змеиное святилище,COMMON,Костеглод-буян,COMMON,Контрабандист апексита,EPIC,Акама,LEGENDARY,Продавщица ракет,COMMON,515
50,Заразный спорлинг,RARE,Норный скорпид,COMMON,Длань А'дала,COMMON,Грязные приемы,COMMON,Рука Гул'дана,COMMON,40
51,Ткачиха мороза,COMMON,Портал ветра Пустоты,COMMON,Пленный хламобес,RARE,Верховный абиссал,COMMON,Шпионка,COMMON,40
52,Продавщица ракет,COMMON,Болотный луч,COMMON,Ткачиха мороза,COMMON,Охотничья уловка,COMMON,Раскол души,RARE,40
53,Ржавый адепт,COMMON,Щит и меч,COMMON,Волдырный гнилостень,RARE,Совет Теней,GOLDEN EPIC,Продавец щитов,COMMON,435
54,Грязные приемы,COMMON,Тотемное отражение,COMMON,Пленный гомункул,GOLDEN COMMON,Натрезим в доспехах,RARE,Пленный мерзотень,COMMON,85
55,Голем из хлама,RARE,Тотемное отражение,COMMON,Призрачное зрение,COMMON,Гонец Кровавой Печати,COMMON,Странница Пустоты,COMMON,40
56,Ржавый адепт,COMMON,Длань А'дала,COMMON,Болотный луч,COMMON,Колдовской поток,COMMON,Пленные лучежабры,RARE,40
57,Болотный луч,COMMON,Пленные лучежабры,RARE,Пленный сквернозуб,COMMON,Продавщица ракет,COMMON,Пленный мерзотень,COMMON,40
