Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
58,Костеглод-буян,COMMON,Натрезим в доспехах,RARE,Навигатор Плавников Скверны,COMMON,Дубликатор,EPIC,Голем из хлама,GOLDEN RARE,230
59,Продавщица ракет,COMMON,Подозрительный скиталец,COMMON,Продавщица ракет,COMMON,Живительные споры,RARE,Выстрел хламом,RARE,55
60,Продавец щитов,COMMON,Ткачиха мороза,COMMON,Пленный антеон,RARE,Сбежавший стражник жути,COMMON,Портал: Змеиное святилище,GOLDEN COMMON,85
61,Пленный гомункул,COMMON,Живительные споры,RARE,Рука Гул'дана,COMMON,Ржавоциклистка,COMMON,Подозрительный скиталец,COMMON,40
62,Алдор – искатель истины,RARE,Верховная мать,COMMON,Контрабандист апексита,EPIC,Шпионка,COMMON,Портал ветра Пустоты,COMMON,135
63,Пленный сквернозуб,COMMON,Глубокая заморозка,RARE,Портал: Змеиное святилище,COMMON,Грязные приемы,COMMON,Корсарский тайник,RARE,55
64,Обновление,COMMON,Корсарский тайник,RARE,Призывательница Скверны,COMMON,Шпионка,COMMON,Подозрительный скиталец,COMMON,40
65,Проклятый бродяга,COMMON,Ржавый адепт,COMMON,Портал: Змеиное святилище,COMMON,Нестабильная Скверна,COMMON,Пеплоуст-убийца,RARE,40
66,Портал: Змеиное святилище,COMMON,Голем из хлама,RARE,Призывательница Скверны,COMMON,Манускрипт справедливости,COMMON,Тотемное отражение,COMMON,40
67,Звездная провидица,COMMON,Исиэль Песнь Ветра,LEGENDARY,Длань А'дала,COMMON,Полководец из преисподней,EPIC,Раскол души,RARE,530
68,Шпионка,COMMON,Тактика стаи,RARE,Продавец щитов,COMMON,Грибные богатства,RARE,Странница Пустоты,COMMON,55
